Nr;ImageId;Width;Height;Ratio[W/H]
462;"http%3A%2F%2Frdfh.ch%2F0804%2F0iJ8-1QVR0a3NhVdwsPfiw";2464;1648;1.4951456310679612
463;"http%3A%2F%2Frdfh.ch%2F0804%2F0iXXUOvlSgWDvxcllFRG-A";1850;2676;0.6913303437967115
464;"http%3A%2F%2Frdfh.ch%2F0804%2F0iZUbIoISsWSdVTndOwdcQ";6103;4045;1.5087762669962916
465;"http%3A%2F%2Frdfh.ch%2F0804%2F0idx6y18Trerd2MWW6WNtw";3542;3494;1.0137378362907843
466;"http%3A%2F%2Frdfh.ch%2F0804%2F0ir20S22S0ekNmuk1E7bNQ";2828;2122;1.3327049952874646
467;"http%3A%2F%2Frdfh.ch%2F0804%2F0jEkCHmKS2aIbIUcvOCuCA";5809;3777;1.537993116229812
468;"http%3A%2F%2Frdfh.ch%2F0804%2F0jJY2F36SYeWheBeBU7vJA";5304;7952;0.6670020120724346
469;"http%3A%2F%2Frdfh.ch%2F0804%2F0jMJp0y-TlC4rHFohJ6ccw";3607;2407;1.498545907769007
470;"http%3A%2F%2Frdfh.ch%2F0804%2F0jMgBnO7QwqgCZTFo4u1_w";1271;1302;0.9761904761904762
471;"http%3A%2F%2Frdfh.ch%2F0804%2F0jSpq0WnTJGfijfu59tgXQ";7595;5060;1.5009881422924902
472;"http%3A%2F%2Frdfh.ch%2F0804%2F0jkLTim_RaqWIh6NNgFLlQ";2957;1944;1.521090534979424
473;"http%3A%2F%2Frdfh.ch%2F0804%2F0jsgqr9FTdOQk-IsBfMbYQ";1779;2610;0.6816091954022988
474;"http%3A%2F%2Frdfh.ch%2F0804%2F0jyFDmXvSe6TtyVgXylpJw";1277;1919;0.6654507556018759
475;"http%3A%2F%2Frdfh.ch%2F0804%2F0k-3n8vvSViYDiD1M3pb7g";2202;1427;1.5430974071478627
476;"http%3A%2F%2Frdfh.ch%2F0804%2F0kBM0lnySBeUs1LM0Dtuxg";768;512;1.5
477;"http%3A%2F%2Frdfh.ch%2F0804%2F0kJGsQHsSielZdCTvCsWEA";5405;3912;1.381646216768916
478;"http%3A%2F%2Frdfh.ch%2F0804%2F0kQ5jJCATNSuSi6opL-A4Q";4992;3543;1.4089754445385267
479;"http%3A%2F%2Frdfh.ch%2F0804%2F0karqTIJRkSWtCOzMQH9XQ";2100;1400;1.5
480;"http%3A%2F%2Frdfh.ch%2F0804%2F0kkGQAUYSwqJ3if8InbWOw";4014;2894;1.387007601935038
481;"http%3A%2F%2Frdfh.ch%2F0804%2F0l0meoU3T6qKbMvENYpuIQ";2464;1648;1.4951456310679612
482;"http%3A%2F%2Frdfh.ch%2F0804%2F0l4JmAgHQoOg7dPmMb9JvQ";4463;3235;1.3795981452859352
483;"http%3A%2F%2Frdfh.ch%2F0804%2F0lGOE0W3Qqi9qihltp7mPg";5643;4282;1.3178421298458665
484;"http%3A%2F%2Frdfh.ch%2F0804%2F0lTgLt0VSsS3Kx3qCq504w";3900;3231;1.2070566388115134
485;"http%3A%2F%2Frdfh.ch%2F0804%2F0lWDuU9NRCCMnK8tRS5_gg";5391;3999;1.3480870217554388
486;"http%3A%2F%2Frdfh.ch%2F0804%2F0lZNvP8nTUqEkf4k-W6TUg";3798;3785;1.003434610303831
487;"http%3A%2F%2Frdfh.ch%2F0804%2F0lfwh6a7RTqYrEVV7aWvmA";5857;4118;1.4222923749392908
488;"http%3A%2F%2Frdfh.ch%2F0804%2F0li4Xz6_Ri2LznjCDLnNOg";6047;4028;1.5012413108242304
489;"http%3A%2F%2Frdfh.ch%2F0804%2F0m6HVQPgSMOkWOZ32oHTbg";2100;1400;1.5
490;"http%3A%2F%2Frdfh.ch%2F0804%2F0mMRXwuyRgu54dzoASg1HQ";2254;3427;0.6577181208053692
491;"http%3A%2F%2Frdfh.ch%2F0804%2F0mS37PqJSCqgEMzbWFr17Q";2339;3370;0.6940652818991098
492;"http%3A%2F%2Frdfh.ch%2F0804%2F0mU9LslBQN-f20WO0QmuMA";4000;5459;0.7327349331379374
493;"http%3A%2F%2Frdfh.ch%2F0804%2F0nNwy8S8SvSgcfLwkb7xUw";7245;2893;2.5043207742827516
494;"http%3A%2F%2Frdfh.ch%2F0804%2F0nYXHH4DQW691AI7GVeTtw";5939;4363;1.3612193444877378
495;"http%3A%2F%2Frdfh.ch%2F0804%2F0nYsXACzS76yGV21_ouGkg";3794;2769;1.3701697363669194
496;"http%3A%2F%2Frdfh.ch%2F0804%2F0nZLcQVMSbWqlhMbREuXIA";2464;1648;1.4951456310679612
497;"http%3A%2F%2Frdfh.ch%2F0804%2F0nbNXPpXTJm4jpbSDy8R9g";6288;4677;1.3444515715202052
498;"http%3A%2F%2Frdfh.ch%2F0804%2F0oVZekUoTIO13Ti49E4bqA";8294;4122;2.012130033964095
499;"http%3A%2F%2Frdfh.ch%2F0804%2F0obME09mRZ6SYp9g4PQ29A";4396;3165;1.3889415481832543
500;"http%3A%2F%2Frdfh.ch%2F0804%2F0okiqJ9QRESkvo1L868ZPw";2100;1400;1.5
501;"http%3A%2F%2Frdfh.ch%2F0804%2F0oxw84_2S-qpTE6FdBnQ_A";768;512;1.5
502;"http%3A%2F%2Frdfh.ch%2F0804%2F0p-n12NCSka3wqrski_PEA";2549;1727;1.4759698899826288
503;"http%3A%2F%2Frdfh.ch%2F0804%2F0plKeu_QRjaVHET4DDfJHA";3158;2092;1.5095602294455066
504;"http%3A%2F%2Frdfh.ch%2F0804%2F0pnnKytFTLetPSngrWhAdw";2233;1599;1.3964978111319575
505;"http%3A%2F%2Frdfh.ch%2F0804%2F0q4vfcAFQKmz7x5gkCJUKA";6163;4844;1.272295623451693
506;"http%3A%2F%2Frdfh.ch%2F0804%2F0qKALwDpSaK9znOI90kbZQ";3637;2582;1.40859798605732
507;"http%3A%2F%2Frdfh.ch%2F0804%2F0qVdoL6UQ66aTBQ1Wa6Uiw";5104;3340;1.5281437125748503
508;"http%3A%2F%2Frdfh.ch%2F0804%2F0qeuj7GzR6-j_OWZSvsQHQ";4446;3945;1.1269961977186311
509;"http%3A%2F%2Frdfh.ch%2F0804%2F0qm0UpnYSDKUEwsHeeL3Eg";6912;5536;1.2485549132947977
510;"http%3A%2F%2Frdfh.ch%2F0804%2F0r-oH0VwS82R0ZJV_CXmHw";3738;3877;0.9641475367552231
511;"http%3A%2F%2Frdfh.ch%2F0804%2F0r3WfCr-REaGiA3v-Ar8OA";1895;2832;0.669138418079096
512;"http%3A%2F%2Frdfh.ch%2F0804%2F0r904NXARNqzoRvTP3zSEA";2100;1400;1.5
513;"http%3A%2F%2Frdfh.ch%2F0804%2F0rDpV6jrSaackTOMGphHMA";2326;1735;1.3406340057636887
514;"http%3A%2F%2Frdfh.ch%2F0804%2F0rFvtptBRM2iiYQnDWudLA";4961;3148;1.5759212198221093
515;"http%3A%2F%2Frdfh.ch%2F0804%2F0rhgekgfRwewTAdcG50KLQ";2926;1983;1.475542107917297
516;"http%3A%2F%2Frdfh.ch%2F0804%2F0rwFsRalSyWGjHB6nZ3MrA";4937;3873;1.2747224373870385
517;"http%3A%2F%2Frdfh.ch%2F0804%2F0sA7Tx_bTHeO-U0y5_eUow";3625;2540;1.4271653543307086
